gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3450278992	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2380	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	44.032011	13.070358							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2380				CC0_1_0					2023-03-09T02:17:02.620Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3450278991	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2376	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	38.061533	12.540633							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2376				CC0_1_0					2023-03-09T02:17:02.620Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278990	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN1050	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia			GENUS	Aurelia Lamarck, 1816	Aurelia		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	42.372044	10.920653							2011-06-01T00:00:00		6	2011	7626211		HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN1050				CC0_1_0					2023-03-09T02:17:02.621Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278989	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2381	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	42.66794	14.070232							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2381				CC0_1_0					2023-03-09T02:17:02.620Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278988	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN1046	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia			GENUS	Aurelia Lamarck, 1816	Aurelia		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	44.133736	12.490392							2011-06-01T00:00:00		6	2011	7626211		HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN1046				CC0_1_0					2023-03-09T02:17:02.620Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278987	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN1044	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia			GENUS	Aurelia Lamarck, 1816	Aurelia		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	45.657978	13.762844							2011-05-01T00:00:00		5	2011	7626211		HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN1044				CC0_1_0					2023-03-09T02:17:02.620Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278986	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2375	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	42.920511	10.53235							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2375				CC0_1_0					2023-03-09T02:17:02.620Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278985	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN1045	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia			GENUS	Aurelia Lamarck, 1816	Aurelia		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	44.133736	12.490392							2011-06-01T00:00:00		6	2011	7626211		HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN1045				CC0_1_0					2023-03-09T02:17:02.618Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278984	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2378	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	40.759617	14.024617							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2378				CC0_1_0					2023-03-09T02:17:02.619Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278983	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2377	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	40.795261	12.045194							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2377				CC0_1_0					2023-03-09T02:17:02.618Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES
3450278982	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2372	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	36.805553	12.038894							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2372				CC0_1_0					2023-03-09T02:17:02.617Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278981	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN1047	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia			GENUS	Aurelia Lamarck, 1816	Aurelia		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	45.208647	12.311269							2011-06-01T00:00:00		6	2011	7626211		HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN1047				CC0_1_0					2023-03-09T02:17:02.618Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278980	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2371	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	36.762147	11.969247							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2371				CC0_1_0					2023-03-09T02:17:02.618Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278979	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN1042	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia			GENUS	Aurelia Lamarck, 1816	Aurelia		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	42.757875	13.969697							2011-05-01T00:00:00		5	2011	7626211		HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN1042				CC0_1_0					2023-03-09T02:17:02.619Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278978	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN1040	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia			GENUS	Aurelia Lamarck, 1816	Aurelia		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	45.604947	12.89825							2011-04-01T00:00:00		4	2011	7626211		HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN1040				CC0_1_0					2023-03-09T02:17:02.621Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
